model_name,model_version,organization_id,blood_group,component_type,forecast_horizon,mae,rmse,wape,bias,trained_at
seasonal_naive,v1,BB_B,O_POSITIVE,RBC,24h,1.4268,1.8935,0.1303,0.1585,2026-09-05T14:50:52.598937
xgboost,v1,BB_B,O_POSITIVE,RBC,24h,0.8978,1.1082,0.082,0.0271,2026-09-05T14:50:52.598937
seasonal_naive,v1,BB_B,O_POSITIVE,WHOLE_BLOOD,24h,1.5183,1.927,0.5209,0.0305,2026-09-05T14:50:52.619267
xgboost,v1,BB_B,O_POSITIVE,WHOLE_BLOOD,24h,0.86,1.0747,0.2951,-0.031,2026-09-05T14:50:52.619267
seasonal_naive,v1,HOSP_A,AB_NEGATIVE,PLASMA,24h,1.189,1.5,1.2581,0.0061,2026-09-05T14:50:52.638760
xgboost,v1,HOSP_A,AB_NEGATIVE,PLASMA,24h,0.6411,0.7932,0.6783,0.025,2026-09-05T14:50:52.638760
seasonal_naive,v1,HOSP_A,AB_NEGATIVE,PLATELETS,24h,0.8841,1.2072,1.014,-0.0427,2026-09-05T14:50:52.661100
xgboost,v1,HOSP_A,AB_NEGATIVE,PLATELETS,24h,0.6958,0.8165,0.798,0.0005,2026-09-05T14:50:52.661100
seasonal_naive,v1,HOSP_A,AB_NEGATIVE,RBC,24h,1.3354,1.662,1.0,0.0183,2026-09-05T14:50:52.705070
xgboost,v1,HOSP_A,AB_NEGATIVE,RBC,24h,0.7593,0.9144,0.5686,-0.0601,2026-09-05T14:50:52.705070
seasonal_naive,v1,HOSP_A,AB_NEGATIVE,WHOLE_BLOOD,24h,1.0793,1.425,0.9833,0.0061,2026-09-05T14:50:52.746239
xgboost,v1,HOSP_A,AB_NEGATIVE,WHOLE_BLOOD,24h,0.7461,0.9146,0.6797,-0.0895,2026-09-05T14:50:52.746239
seasonal_naive,v1,HOSP_A,AB_POSITIVE,PLASMA,24h,1.189,1.5,0.8864,-0.0549,2026-09-05T14:50:52.771324
xgboost,v1,HOSP_A,AB_POSITIVE,PLASMA,24h,0.7449,0.9066,0.5553,-0.0584,2026-09-05T14:50:52.771324
seasonal_naive,v1,HOSP_A,AB_POSITIVE,PLATELETS,24h,1.2012,1.5559,1.239,0.1037,2026-09-05T14:50:52.793303
xgboost,v1,HOSP_A,AB_POSITIVE,PLATELETS,24h,0.7699,0.9185,0.7942,0.0895,2026-09-05T14:50:52.793303
seasonal_naive,v1,HOSP_A,AB_POSITIVE,RBC,24h,1.3902,1.7321,0.8085,0.0122,2026-09-05T14:50:52.833411
xgboost,v1,HOSP_A,AB_POSITIVE,RBC,24h,0.7535,0.9281,0.4382,-0.024,2026-09-05T14:50:52.833411
seasonal_naive,v1,HOSP_A,AB_POSITIVE,WHOLE_BLOOD,24h,0.9024,1.3252,0.9487,-0.0122,2026-09-05T14:50:52.863971
xgboost,v1,HOSP_A,AB_POSITIVE,WHOLE_BLOOD,24h,0.7096,0.8592,0.746,0.0832,2026-09-05T14:50:52.863971
seasonal_naive,v1,HOSP_A,A_NEGATIVE,PLASMA,24h,1.4817,1.927,0.8073,-0.0061,2026-09-05T14:50:52.887177
xgboost,v1,HOSP_A,A_NEGATIVE,PLASMA,24h,0.8407,1.0396,0.4581,-0.1051,2026-09-05T14:50:52.887177
seasonal_naive,v1,HOSP_A,A_NEGATIVE,PLATELETS,24h,1.311,1.6583,1.0142,-0.0427,2026-09-05T14:50:53.087787
xgboost,v1,HOSP_A,A_NEGATIVE,PLATELETS,24h,0.7909,0.9947,0.6118,-0.0126,2026-09-05T14:50:53.087787
seasonal_naive,v1,HOSP_A,A_NEGATIVE,RBC,24h,1.3659,1.7841,0.5321,0.0366,2026-09-05T14:50:53.116489
xgboost,v1,HOSP_A,A_NEGATIVE,RBC,24h,0.757,0.9517,0.2949,-0.1212,2026-09-05T14:50:53.116489
seasonal_naive,v1,HOSP_A,A_NEGATIVE,WHOLE_BLOOD,24h,1.1037,1.4077,1.0,-0.0183,2026-09-05T14:50:53.138487
xgboost,v1,HOSP_A,A_NEGATIVE,WHOLE_BLOOD,24h,0.7153,0.8792,0.6481,0.0522,2026-09-05T14:50:53.138487
seasonal_naive,v1,HOSP_A,A_POSITIVE,PLASMA,24h,1.5488,1.9569,0.254,0.0122,2026-09-05T14:50:53.162163
xgboost,v1,HOSP_A,A_POSITIVE,PLASMA,24h,0.8064,0.994,0.1322,-0.095,2026-09-05T14:50:53.162163
seasonal_naive,v1,HOSP_A,A_POSITIVE,PLATELETS,24h,1.5427,2.0734,0.3514,-0.0671,2026-09-05T14:50:53.287380
xgboost,v1,HOSP_A,A_POSITIVE,PLATELETS,24h,0.9021,1.1278,0.2055,-0.0507,2026-09-05T14:50:53.287380
seasonal_naive,v1,HOSP_A,A_POSITIVE,RBC,24h,1.6341,2.0982,0.1429,0.0732,2026-09-05T14:50:53.352579
xgboost,v1,HOSP_A,A_POSITIVE,RBC,24h,0.9065,1.0938,0.0792,-0.0176,2026-09-05T14:50:53.352579
seasonal_naive,v1,HOSP_A,A_POSITIVE,WHOLE_BLOOD,24h,1.5122,1.9223,0.3416,-0.0732,2026-09-05T14:50:53.378138
xgboost,v1,HOSP_A,A_POSITIVE,WHOLE_BLOOD,24h,0.859,1.0731,0.194,-0.1195,2026-09-05T14:50:53.378138
seasonal_naive,v1,HOSP_A,B_NEGATIVE,PLASMA,24h,1.2805,1.6079,1.1798,0.0,2026-09-05T14:50:53.407633
xgboost,v1,HOSP_A,B_NEGATIVE,PLASMA,24h,0.7916,0.9358,0.7293,0.0291,2026-09-05T14:50:53.407633
seasonal_naive,v1,HOSP_A,B_NEGATIVE,PLATELETS,24h,1.128,1.4671,1.2013,0.0305,2026-09-05T14:50:53.656259
xgboost,v1,HOSP_A,B_NEGATIVE,PLATELETS,24h,0.6318,0.7567,0.6728,0.0301,2026-09-05T14:50:53.656259
seasonal_naive,v1,HOSP_A,B_NEGATIVE,RBC,24h,1.4512,1.9031,0.9876,-0.0488,2026-09-05T14:50:53.689530
xgboost,v1,HOSP_A,B_NEGATIVE,RBC,24h,0.829,0.9805,0.5642,0.0015,2026-09-05T14:50:53.689530
seasonal_naive,v1,HOSP_A,B_NEGATIVE,WHOLE_BLOOD,24h,0.8841,1.1713,1.1789,0.0671,2026-09-05T14:50:53.737105
xgboost,v1,HOSP_A,B_NEGATIVE,WHOLE_BLOOD,24h,0.624,0.7543,0.832,0.1301,2026-09-05T14:50:53.737105
